hits,MC1um,MC2.5um,MC10um,AMC1um,AMC2.5um,AMC10um,NC03um,NC05um,NC10um,NC25um,NC50um,NC100um
155,95,365,532,63,243,354,22317,6629,3391,740,221,118
156,95,351,506,62,233,337,22254,6553,3276,682,199,121
157,96,356,494,63,236,328,22602,6678,3320,636,172,99
158,93,346,492,61,230,327,22059,6555,3313,619,178,108
159,101,361,505,66,240,336,22590,6771,3318,687,186,96
160,101,363,499,66,241,332,22920,6814,3307,697,171,78
161,99,364,496,65,242,330,23073,6853,3334,725,162,89
162,96,385,529,64,256,351,22569,6727,3429,744,181,103
163,97,382,524,64,253,349,23013,6858,3432,757,184,88
164,102,381,527,67,253,351,23208,6928,3377,736,186,94
165,100,380,533,66,253,355,23049,6873,3398,754,199,103
166,103,381,518,68,253,345,23397,6970,3369,724,178,87
167,102,367,522,67,244,347,22737,6770,3306,718,208,111
168,101,366,521,67,243,347,22629,6777,3243,718,208,121
169,98,357,499,65,237,332,22347,6616,3275,660,182,100
170,99,374,528,65,249,351,22866,6710,3444,720,195,106
171,99,376,528,65,250,352,23271,6833,3465,733,197,108
172,97,369,513,64,245,341,22689,6678,3391,726,188,92
173,99,370,502,65,246,334,22707,6769,3292,708,180,90
174,102,370,509,67,246,339,22995,6896,3299,688,185,100
175,103,365,505,68,243,336,23025,6861,3283,680,187,100
176,100,358,490,65,238,326,23058,6850,3316,676,172,96
177,103,363,489,68,241,325,22935,6857,3282,647,161,88
178,99,372,515,65,248,343,23034,6890,3426,713,187,102
179,100,373,510,66,248,339,22422,6757,3363,719,171,92
180,99,360,486,65,240,324,21684,6496,3211,648,149,76
181,98,357,486,65,237,323,22386,6646,3201,669,152,82
182,98,374,526,65,249,350,23130,6846,3411,726,186,121
183,98,379,525,65,252,349,23016,6798,3408,733,184,129
184,97,377,529,64,250,352,22992,6819,3443,725,190,139
185,98,363,504,64,241,336,22341,6703,3287,705,171,108
186,96,360,519,63,239,346,21957,6595,3379,730,199,114
187,100,362,519,66,241,345,22281,6701,3408,700,199,110
188,98,357,515,65,237,343,22041,6625,3372,685,199,114
189,99,368,529,65,245,352,22383,6748,3446,734,197,110
190,100,367,529,66,244,352,22383,6767,3419,725,204,110
191,100,364,514,66,242,342,22440,6783,3356,706,185,106
192,99,359,514,65,238,342,22434,6741,3352,708,197,108
193,103,364,499,68,242,332,22773,6844,3385,645,176,98
194,103,375,493,68,249,328,22980,6859,3328,678,148,86
195,98,368,488,64,244,324,22716,6745,3337,672,151,84
196,101,374,497,67,249,331,22683,6753,3322,721,157,78
197,97,368,495,64,244,329,22467,6652,3257,729,168,76
198,96,366,489,63,243,325,22380,6628,3293,702,164,70
199,95,375,491,62,249,326,22548,6709,3359,703,155,64
200,99,380,494,65,252,328,23091,6877,3432,688,150,62
201,101,377,483,66,251,321,23151,6923,3407,651,142,64
202,102,380,478,67,253,318,23238,6963,3411,639,125,62
203,104,376,477,69,250,317,23250,6972,3363,636,129,62
204,99,361,472,65,240,314,22542,6755,3287,659,137,66
205,98,358,472,65,238,314,22212,6634,3222,638,137,78
206,97,354,488,64,235,324,22212,6661,3258,668,166,88
207,101,360,521,66,239,346,22950,6862,3388,708,203,112
208,103,372,515,68,247,343,23406,6925,3421,668,183,100
209,99,368,492,65,245,327,23049,6794,3323,646,157,82
210,98,371,495,65,247,329,22701,6747,3355,647,168,82
211,97,363,481,64,241,320,22119,6576,3286,640,157,74
212,97,361,486,64,240,323,21960,6592,3294,650,167,80
213,99,368,501,65,245,333,22617,6776,3388,662,182,94
214,100,371,505,66,247,336,22737,6812,3346,681,176,102
215,100,366,499,66,243,332,22752,6789,3282,685,169,96
216,101,360,506,67,239,337,22701,6762,3285,699,184,116
217,99,368,528,65,245,351,22557,6779,3345,750,198,124
218,101,366,533,67,243,355,22701,6813,3395,745,214,122
219,102,356,522,67,237,348,22710,6782,3286,728,214,116
220,101,355,527,67,236,351,22488,6717,3258,728,225,120
221,103,364,536,68,242,357,22866,6850,3384,728,225,122
222,100,363,528,66,241,351,22545,6718,3352,718,212,116
223,96,364,518,63,242,344,22320,6616,3363,729,204,112
224,98,364,511,65,241,340,22332,6604,3314,711,189,106
225,99,365,509,65,242,339,22647,6695,3323,710,189,106
226,98,362,496,64,240,330,22500,6645,3268,702,174,88
227,97,362,483,64,240,321,22434,6631,3212,685,153,78
228,99,365,497,65,243,331,22491,6682,3242,710,170,84
229,101,374,514,67,249,342,22788,6803,3335,734,185,90
230,99,373,510,65,248,340,22788,6784,3343,729,180,94
231,98,366,507,64,243,338,22338,6671,3303,710,189,100
232,98,365,526,65,243,350,22236,6640,3278,753,208,112
233,99,370,523,65,246,348,22386,6673,3282,748,199,112
234,98,361,491,65,240,327,22032,6575,3206,696,159,98
235,96,366,508,63,243,338,22434,6713,3377,701,183,108
236,100,375,526,66,249,350,22737,6800,3415,729,189,116
237,99,386,532,65,257,354,22902,6869,3481,763,186,110
